nev	nem	szul	magassag	suly	cipomeret
Attila	f	1954	174	64	42 
Béla	f	1965	160	60	41 
Csaba	f	1970	185	90	44 
Dani	f	1962	168	64	40 
Ede	f	1973	184	76	42 
Flóra	n	1969	170	60	39 
Géza	f	1954	178	75	44 
Huba	f	1961	185	85	45 
Ilona	n	1977	171	58	38 
János	f	1953	174	72	42 
Károly	f	1962	179	91	45 
Lajos	f	1985	182	80	44 
Mátyás	f	1961	171	72	41 
Nándor	f	1985	173	62	41 
Ottó 	f	1962	180	75	42 
Péter	f	1953	186	83	44 
Rómeó	f	1978	186	93	43 
Sándor 	f	1965	170	63	39 
Tamás	f	1974	171	110	42 
Ursula	n	1988	163	47	36 
Virág	n	1967	168	52	NA 
Xénia	n	1976	165	52	NA 
Zita	n	1962	161	60	NA 
