nev	nem	magassag	suly	sulyelso	idealsly	idealmag	enni	szemszin	hajszin
pöffentõs	1	185	93	90	85	185	3	3	3
hétfõ	2	160	48	47	52	165	4	3	3
laser	1	178	80	75	75	180	2	3	3
csucsu	1	186	92	90	80	190	4	2	3
manó	2	174	60	60	58	174	3	3	3
óramutató	2	179	60	60	62	175	3	2	3
kisdobos	2	155	44	44	42	160	4	2	3
koala	2	164	60	57	54	164	4	1	3
LZK	2	157	42	40	46	162	5	1	1
773	2	163	53	60	50	170	3	3	3
kiscica	2	162	47	47	50	170	5	3	3
vadi	1	186	87	89	90	196	5	1	4
Jocky	1	170	65	65	65	170	5	3	3
napsugár	2	174	55	56	57	174	3	3	3
SZM	2	175	67	70	62	175	5	1	1
kiskacsa	2	172	54	55	52	172	4	3	3
picike	2	168	64	62	60	168	4	3	3
Bogár	2	174	48	 	55	174	5	2	3
citrom	2	167	52	53	56	175	4	3	3
kutyafül	2	172	64	63	62	173	4	2	3
kaktusz	2	168	47	50	50	170	2	3	3
ima	2	160	54	53	50	170	4	3	2
Yoko	2	161	48	46	52	170	5	3	3
mackóbátyó	2	178	68	64	58	180	1	1	3
cirom	2	165	48	48	48	168	3	3	3
orson	2	163	57	57	54	163	4	3	3
9509	2	168	54	54	54	170	5	3	1
Ausztrália	1	190	60	60	80	190	5	1	1
Winnetsu	1	177	75	71	69	196	4	2	1
piros	2	168	57	57	52	168	2	1	3
kék	2	168	60	60	52	170	4	3	3
szilva	2	172	65	65	60	172	4	3	3
Jerry	2	160	60	60	51	160	5	1	3
csibe	2	156	50	50	47	160	5	3	3
nyuszi	2	180	55	63	55	180	4	3	3
pajti	1	173	65	60	70	173	5	1	3
Zooro	1	181	75	 	100	200	3	3	3
kicsi	1	195	83	81	90	185	4	1	1
Kenya	1	184	86	79	81	187	4	3	3
Maci	2	154	46	45	42	160	5	3	3
Boci	2	183	63	70	61	183	4	1	4
Balli	2	160	54	51	49	160	5	2	3
Etika	2	177	63	63	63	177	5	1	3
róka	1	189	100	95	95	189	4	3	3
sas	2	164	45	44	48	172	4	3	3
mucus	2	170	54	56	50	175	3	1	1
alma	2	172	57	55	60	180	4	3	3
virág	2	168	56	58	54	170	4	3	3
Maca	2	160	56	58	54	165	4	2	3
Mici	2	176	54	52	60	176	3	3	3
muk	2	165	65	63	60	165	4	2	3
hóvirág	2	174	53	53	60	178	3	1	3
Szeged 1	2	165	48	48	50	172	1	1	3
szivárvány	2	174	58	58	58	176	4	3	3
batman	1	170	72	65	60	180	2	2	2
Andrea	2	164	58	52	54	172	5	3	3
Edina	2	170	59	54	52	176	5	3	3
napkelte	1	190	80	78	80	190	4	1	1
Berci	2	174	68	68	60	174	4	1	3
hógolyó	2	163	50	50	50	165	5	3	3
kukac	2	162	50	49	50	165	4	3	3
